timestamp,id01,m01_gp,m01_pp,id02,m02_gp,m02_pp,id03,m03_gp,m03_pp,id04,m04_gp,m04_pp,id05,m05_gp,m05_pp,id06,m06_gp,m06_pp,id07,m07_gp,m07_pp,
2903,1,630,513,2,630,514,3,630,462,4,630,551,5,630,496,6,630,493,7,630,626,
2955,1,602,513,2,614,514,3,614,462,4,614,551,5,614,496,6,614,493,7,614,626,
3009,1,615,513,2,627,514,3,566,462,4,566,551,5,566,496,6,566,493,7,566,626,
3066,1,606,513,2,625,514,3,567,462,4,500,551,5,500,496,6,500,493,7,500,626,
3127,1,605,513,2,628,514,3,563,462,4,478,551,5,437,496,6,437,493,7,437,626,
3189,1,601,513,2,628,514,3,568,462,4,469,551,5,411,496,6,398,493,7,398,626,
3253,1,597,513,2,629,514,3,572,462,4,471,551,5,402,496,6,391,493,7,394,626,
3319,1,593,513,2,630,514,3,577,463,4,474,551,5,401,496,6,395,493,7,418,626,
3386,1,590,514,2,630,514,3,581,462,4,479,551,5,401,496,6,399,493,7,445,626,
3454,1,586,514,2,630,514,3,585,462,4,484,551,5,403,496,6,400,493,7,461,626,
3522,1,581,514,2,630,514,3,589,462,4,489,551,5,405,496,6,399,493,7,468,626,
3590,1,577,514,2,630,514,3,593,462,4,494,551,5,407,496,6,398,493,7,469,627,
3659,1,572,514,2,629,514,3,597,462,4,499,551,5,410,496,6,396,493,7,467,626,
3728,1,568,514,2,629,514,3,601,462,4,505,551,5,413,496,6,395,493,7,463,626,
3797,1,563,514,2,628,514,3,604,462,4,510,551,5,416,496,6,394,493,7,459,626,
3866,1,558,514,2,626,514,3,607,462,4,515,551,5,420,496,6,393,493,7,454,626,
3935,1,553,514,2,625,514,3,610,462,4,521,551,5,423,496,6,392,493,7,449,626,
4004,1,548,514,2,623,514,3,613,462,4,526,551,5,427,496,6,391,493,7,445,626,
4073,1,543,514,2,621,514,3,616,462,4,531,551,5,431,496,6,391,493,7,441,626,
4142,1,538,514,2,619,514,3,618,462,4,536,551,5,435,496,6,391,493,7,436,626,
4211,1,533,514,2,617,514,3,620,462,4,542,551,5,439,496,6,391,493,7,432,626,
4280,1,528,514,2,614,514,3,623,462,4,547,551,5,444,496,6,391,493,7,428,626,
4349,1,522,514,2,611,514,3,624,462,4,552,551,5,448,496,6,391,493,7,424,626,
4417,1,517,514,2,608,514,3,626,462,4,557,551,5,453,496,6,392,493,7,421,626,
4485,1,512,514,2,605,514,3,627,462,4,562,551,5,457,496,6,393,493,7,417,626,
4553,1,506,514,2,602,514,3,628,462,4,566,551,5,462,496,6,395,493,7,414,626,
4621,1,501,514,2,598,514,3,629,462,4,571,551,5,467,496,6,396,493,7,411,626,
4689,1,496,514,2,594,514,3,630,462,4,576,551,5,472,496,6,398,493,7,408,626,
4757,1,490,514,2,590,514,3,630,462,4,580,552,5,477,496,6,400,493,7,405,626,
4825,1,485,514,2,586,514,3,630,462,4,584,551,5,482,496,6,402,493,7,403,626,
4893,1,480,513,2,582,514,3,630,462,4,588,551,5,488,496,6,404,493,7,401,626,
4961,1,475,513,2,578,513,3,630,462,4,592,551,5,493,496,6,407,493,7,399,626,
5029,1,470,513,2,573,513,3,630,462,4,596,551,5,498,496,6,409,493,7,397,626,
5104,1,465,499,2,569,549,3,629,493,4,600,581,5,503,491,6,412,440,7,395,577,
5179,1,460,477,2,564,577,3,628,579,4,603,608,5,509,505,6,416,396,7,394,480,
5254,1,455,455,2,559,560,3,627,643,4,607,599,5,514,504,6,419,416,7,393,389,
5329,1,451,454,2,554,560,3,625,630,4,610,609,5,519,517,6,423,421,7,392,384,
5404,1,446,452,2,549,554,3,623,623,4,613,608,5,525,517,6,426,421,7,391,397,
5479,1,442,445,2,544,548,3,622,621,4,615,610,5,530,522,6,430,423,7,391,392,
5554,1,437,441,2,539,543,3,619,621,4,618,614,5,535,530,6,434,431,7,391,392,
5629,1,433,437,2,534,539,3,617,620,4,620,618,5,540,534,6,438,432,7,391,392,
5704,1,429,432,2,529,534,3,615,618,4,622,619,5,546,539,6,443,437,7,391,392,
5779,1,425,430,2,523,529,3,612,617,4,624,619,5,551,544,6,447,441,7,391,392,
5854,1,422,425,2,518,523,3,609,613,4,626,626,5,556,550,6,452,446,7,392,392,
5929,1,418,422,2,513,520,3,606,610,4,627,626,5,560,554,6,456,451,7,393,392,
6004,1,415,420,2,507,514,3,602,607,4,628,626,5,565,559,6,461,455,7,394,392,
6079,1,412,415,2,502,508,3,599,603,4,629,626,5,570,563,6,466,459,7,396,392,
6154,1,409,412,2,497,503,3,595,600,4,630,627,5,575,567,6,471,464,7,397,396,
6229,1,406,410,2,492,498,3,591,596,4,630,628,5,579,574,6,476,470,7,399,396,
6304,1,404,408,2,486,493,3,587,592,4,630,629,5,583,579,6,481,475,7,401,397,
6379,1,401,404,2,481,487,3,583,588,4,630,629,5,587,581,6,486,480,7,404,402,
6454,1,399,401,2,476,482,3,579,584,4,630,629,5,591,586,6,492,485,7,406,402,
6529,1,397,399,2,471,478,3,574,579,4,630,629,5,595,589,6,497,491,7,409,403,
6604,1,396,397,2,466,472,3,570,575,4,629,629,5,599,593,6,502,496,7,412,409,
6679,1,394,397,2,461,465,3,565,570,4,628,628,5,603,598,6,508,499,7,415,411,
6754,1,393,394,2,456,461,3,560,565,4,627,628,5,606,601,6,513,507,7,418,413,
6829,1,392,393,2,452,456,3,555,560,4,626,627,5,609,604,6,518,512,7,422,419,
6904,1,391,394,2,447,452,3,550,554,4,624,625,5,612,607,6,524,517,7,425,423,
6979,1,391,391,2,442,449,3,545,553,4,622,624,5,615,610,6,529,523,7,429,423,
7054,1,391,391,2,438,442,3,540,545,4,620,622,5,617,614,6,534,528,7,433,428,
7129,1,391,391,2,434,439,3,535,540,4,618,620,5,620,616,6,539,534,7,437,433,
7204,1,391,391,2,430,436,3,530,536,4,615,618,5,622,618,6,544,538,7,442,436,
7279,1,391,390,2,426,431,3,525,530,4,612,616,5,624,620,6,550,544,7,446,441,
7354,1,392,391,2,422,428,3,519,526,4,610,612,5,625,621,6,555,549,7,451,443,
7429,1,393,391,2,419,424,3,514,521,4,606,612,5,627,626,6,559,558,7,455,453,
7504,1,394,391,2,416,423,3,509,517,4,603,607,5,628,626,6,564,557,7,460,453,
7579,1,395,392,2,412,419,3,503,511,4,600,605,5,629,626,6,569,564,7,465,460,
7654,1,397,394,2,409,414,3,498,504,4,596,601,5,630,628,6,574,569,7,470,466,
7729,1,399,396,2,407,411,3,493,501,4,592,597,5,630,628,6,578,575,7,475,469,
7804,1,401,397,2,404,410,3,487,496,4,588,593,5,630,629,6,582,577,7,480,473,
7879,1,403,401,2,402,408,3,482,489,4,584,590,5,630,629,6,587,580,7,485,480,
7954,1,406,402,2,400,404,3,477,484,4,580,585,5,630,629,6,591,587,7,491,484,
8029,1,408,406,2,398,402,3,472,479,4,575,581,5,630,629,6,594,591,7,496,490,
8104,1,411,409,2,396,401,3,467,474,4,571,576,5,629,629,6,598,593,7,501,497,
8179,1,414,409,2,394,400,3,462,470,4,566,572,5,628,629,6,602,597,7,506,499,
8254,1,418,414,2,393,396,3,457,464,4,561,568,5,627,629,6,605,601,7,512,503,
8329,1,421,419,2,392,396,3,453,460,4,557,562,5,626,628,6,608,605,7,517,513,
8404,1,425,421,2,391,395,3,448,456,4,552,558,5,624,627,6,611,606,7,522,517,
8479,1,428,425,2,391,394,3,443,450,4,546,553,5,622,625,6,614,610,7,528,521,
8554,1,432,430,2,391,393,3,439,445,4,541,547,5,620,624,6,617,613,7,533,527,
