timestamp,id01,m01_gp,m01_pp,id02,m02_gp,m02_pp,id03,m03_gp,m03_pp,id04,m04_gp,m04_pp,id05,m05_gp,m05_pp,id06,m06_gp,m06_pp,id07,m07_gp,m07_pp,
2903,1,567,625,2,567,586,3,567,491,4,567,406,5,567,400,6,567,475,7,567,577,
2955,1,524,625,2,570,586,3,570,491,4,570,406,5,570,400,6,570,475,7,570,577,
3010,1,516,625,2,556,586,3,570,491,4,570,406,5,570,400,6,570,475,7,570,577,
3068,1,490,625,2,544,586,3,569,491,4,567,406,5,567,400,6,567,475,7,567,577,
3129,1,473,625,2,523,586,3,564,491,4,569,406,5,561,400,6,561,475,7,561,577,
3191,1,459,625,2,502,586,3,551,491,4,570,406,5,560,400,6,553,475,7,553,577,
3256,1,451,625,2,482,586,3,534,491,4,568,406,5,565,400,6,548,475,7,542,577,
3322,1,452,625,2,465,586,3,513,491,4,558,406,5,569,400,6,550,475,7,533,577,
3389,1,459,625,2,454,586,3,492,491,4,543,406,5,570,400,6,558,475,7,532,577,
3457,1,473,625,2,451,586,3,473,491,4,524,406,5,564,400,6,566,475,7,538,577,
3526,1,492,625,2,454,586,3,459,491,4,502,406,5,552,400,6,570,475,7,550,577,
3595,1,513,625,2,465,586,3,451,491,4,482,406,5,534,400,6,568,475,7,561,577,
3664,1,534,625,2,482,586,3,451,491,4,465,406,5,513,400,6,559,475,7,569,577,
3733,1,552,625,2,502,586,3,459,491,4,454,406,5,492,400,6,544,475,7,570,577,
3802,1,564,625,2,524,586,3,473,491,4,451,406,5,473,399,6,524,475,7,565,577,
3871,1,570,625,2,543,586,3,492,491,4,454,406,5,459,400,6,503,475,7,552,577,
3940,1,568,625,2,559,586,3,513,491,4,465,406,5,452,400,6,482,475,7,534,577,
4009,1,559,625,2,568,586,3,534,491,4,482,406,5,451,400,6,466,475,7,514,577,
4078,1,544,625,2,570,586,3,552,491,4,502,406,5,459,400,6,455,475,7,493,577,
4147,1,525,625,2,565,586,3,564,491,4,523,406,5,473,400,6,451,475,7,474,577,
4216,1,503,625,2,553,586,3,570,491,4,543,406,5,491,400,6,454,475,7,459,577,
4285,1,483,625,2,535,586,3,569,491,4,559,406,5,512,400,6,465,475,7,452,577,
4354,1,466,625,2,514,586,3,560,491,4,568,406,5,533,400,6,481,475,7,451,577,
4423,1,455,625,2,493,586,3,544,491,4,570,406,5,551,400,6,501,475,7,458,577,
4492,1,451,625,2,474,586,3,525,491,4,565,406,5,564,400,6,523,475,7,472,577,
4561,1,454,625,2,460,586,3,504,491,4,553,406,5,570,400,6,542,475,7,491,577,
4630,1,464,625,2,452,586,3,483,491,4,535,406,5,569,400,6,558,475,7,512,577,
4699,1,481,625,2,451,586,3,466,491,4,515,406,5,560,400,6,568,475,7,533,577,
4768,1,501,625,2,458,586,3,455,491,4,493,406,5,545,400,6,570,475,7,551,577,
4837,1,522,625,2,472,586,3,451,491,4,474,406,5,525,400,6,565,475,7,564,577,
4906,1,542,625,2,490,586,3,454,491,4,460,406,5,504,400,6,553,475,7,570,577,
4975,1,558,625,2,511,586,3,464,491,4,452,406,5,484,400,6,536,475,7,569,577,
5044,1,568,625,2,532,586,3,480,491,4,451,406,5,467,400,6,515,475,7,560,577,
5119,1,570,617,2,550,540,3,500,474,4,458,437,5,455,426,6,494,506,7,545,558,
5194,1,565,594,2,564,540,3,522,496,4,471,460,5,451,461,6,475,495,7,526,540,
5269,1,554,573,2,570,573,3,542,530,4,490,475,5,454,456,6,460,474,7,505,527,
5344,1,536,551,2,569,566,3,558,540,4,511,488,5,464,451,6,452,457,7,484,503,
5419,1,516,536,2,560,567,3,568,556,4,532,511,5,480,460,6,451,449,7,467,482,
5494,1,494,516,2,546,558,3,570,566,4,550,530,5,500,479,6,458,449,7,455,464,
5569,1,475,497,2,526,542,3,566,567,4,563,547,5,521,496,6,471,455,7,451,453,
5644,1,460,477,2,505,522,3,554,565,4,570,561,5,541,520,6,489,470,7,453,451,
5719,1,452,458,2,485,501,3,537,552,4,569,568,5,557,539,6,510,488,7,464,452,
5794,1,451,448,2,467,482,3,516,533,4,561,568,5,568,556,6,531,510,7,480,460,
