timestamp,id01,m01_gp,m01_pp,id02,m02_gp,m02_pp,id03,m03_gp,m03_pp,id04,m04_gp,m04_pp,id05,m05_gp,m05_pp,id06,m06_gp,m06_pp,id07,m07_gp,m07_pp,
2903,1,628,391,2,628,429,3,628,530,4,628,616,5,628,620,6,628,550,7,628,437,
2955,1,602,391,2,630,429,3,630,529,4,630,616,5,630,620,6,630,550,7,630,437,
3011,1,575,391,2,629,429,3,630,529,4,630,616,5,630,620,6,630,550,7,630,437,
3067,1,552,391,2,624,429,3,630,529,4,629,616,5,629,620,6,629,552,7,629,437,
3126,1,529,391,2,614,429,3,630,530,4,627,616,5,626,620,6,626,554,7,626,437,
3184,1,506,391,2,601,429,3,630,530,4,625,616,5,622,620,6,622,554,7,622,437,
3245,1,483,391,2,585,429,3,630,530,4,624,616,5,617,620,6,616,553,7,616,437,
3307,1,461,391,2,565,429,3,626,530,4,625,616,5,613,620,6,609,553,7,609,437,
3369,1,441,391,2,544,429,3,619,530,4,627,616,5,610,620,6,602,553,7,600,437,
3433,1,424,391,2,521,429,3,609,530,4,630,616,5,610,620,6,595,553,7,591,437,
3498,1,409,391,2,498,429,3,595,530,4,630,616,5,612,620,6,590,553,7,582,437,
3563,1,399,391,2,476,429,3,577,529,4,629,616,5,616,620,6,588,553,7,573,437,
3629,1,393,391,2,454,429,3,558,530,4,624,616,5,621,620,6,588,553,7,566,437,
3695,1,391,391,2,435,429,3,536,530,4,616,616,5,626,620,6,591,553,7,560,437,
3762,1,393,391,2,419,429,3,513,530,4,604,616,5,630,620,6,597,553,7,558,437,
3830,1,400,391,2,406,429,3,490,529,4,589,616,5,630,620,6,605,553,7,559,437,
3898,1,410,391,2,396,429,3,468,530,4,571,616,5,628,620,6,613,553,7,563,437,
3966,1,425,391,2,391,429,3,448,529,4,551,616,5,622,620,6,620,552,7,571,437,
4034,1,442,391,2,391,429,3,429,529,4,528,616,5,613,620,6,626,552,7,580,437,
4102,1,462,391,2,395,429,3,414,530,4,506,616,5,600,620,6,630,552,7,590,437,
4171,1,484,391,2,403,429,3,402,529,4,483,616,5,584,620,6,630,552,7,601,437,
4240,1,507,391,2,415,429,3,394,530,4,461,614,5,565,620,6,627,552,7,612,437,
4309,1,530,391,2,430,429,3,391,529,4,441,614,5,543,620,6,620,551,7,621,437,
4378,1,552,391,2,449,429,3,392,530,4,424,614,5,521,620,6,609,551,7,627,437,
4447,1,573,391,2,469,429,3,397,530,4,410,614,5,498,620,6,595,551,7,630,437,
4516,1,591,391,2,492,429,3,406,529,4,399,614,5,476,620,6,578,551,7,630,437,
4585,1,607,391,2,515,429,3,419,530,4,393,614,5,455,620,6,558,551,7,626,437,
4654,1,619,391,2,538,429,3,436,529,4,391,614,5,435,620,6,536,551,7,617,437,
4723,1,627,391,2,559,429,3,455,530,4,393,614,5,419,620,6,514,551,7,605,437,
4792,1,630,391,2,579,429,3,477,530,4,399,614,5,406,620,6,491,551,7,590,437,
4861,1,629,391,2,597,429,3,499,529,4,410,614,5,397,620,6,469,551,7,572,437,
4930,1,624,391,2,611,429,3,522,529,4,424,614,5,391,620,6,448,551,7,551,437,
4999,1,615,391,2,622,429,3,545,530,4,442,614,5,391,620,6,430,551,7,529,437,
5068,1,602,391,2,628,429,3,566,529,4,462,614,5,394,620,6,414,551,7,506,437,
5143,1,585,396,2,630,472,3,585,567,4,484,577,5,402,588,6,402,516,7,483,484,
5218,1,566,420,2,628,560,3,602,592,4,507,507,5,414,527,6,394,448,7,462,498,
5293,1,545,437,2,622,634,3,615,596,4,530,495,5,430,448,6,391,384,7,442,459,
5368,1,522,456,2,611,622,3,624,612,4,552,528,5,448,411,6,391,381,7,424,437,
5443,1,499,471,2,597,604,3,630,616,4,573,546,5,469,444,6,397,386,7,410,422,
5518,1,476,485,2,579,593,3,630,623,4,591,570,5,491,469,6,406,400,7,399,411,
