Q,A,O,P
0.00,0.00,0.00,0.00,
0.00,0.00,0.00,0.00,
0.00,0.00,0.00,0.00,
0.00,0.00,0.00,0.00,
0.00,0.00,0.00,0.00,
0.00,0.00,0.00,0.00,
0.00,0.00,0.00,0.00,
0.00,0.00,0.00,0.00,
0.00,0.00,0.00,0.00,
0.00,0.00,0.00,0.00,
0.00,0.00,0.00,0.00,
0.00,0.00,0.00,0.00,
0.00,0.00,0.00,0.00,
0.00,0.00,0.00,0.00,
0.00,0.00,0.00,0.00,
0.00,0.00,0.00,0.00,
0.00,0.00,0.00,0.00,
0.00,0.00,0.00,0.00,
0.00,0.00,0.00,0.00,
0.00,0.00,0.00,0.00,
0.00,0.00,0.00,0.00,
0.00,0.00,0.00,0.00,
0.00,0.00,0.00,0.00,
0.00,0.00,0.00,0.00,
0.00,0.00,0.00,0.00,
0.00,0.00,0.00,0.00,
0.00,0.00,0.00,0.00,
0.00,0.00,0.00,0.00,
0.00,0.00,0.00,0.00,
0.00,0.00,0.00,0.00,
0.00,0.00,0.00,0.00,
0.00,0.00,0.00,0.00,
0.00,0.00,0.00,0.00,
0.00,0.00,0.00,0.00,
0.00,0.00,0.00,0.00,
0.00,0.00,0.00,0.00,
0.00,0.00,0.00,0.00,
0.00,0.00,0.00,0.00,
0.00,0.00,0.00,0.00,
0.00,0.00,0.00,0.00,
0.00,0.00,0.00,0.00,
0.00,0.00,0.00,0.00,
0.00,0.00,0.00,0.00,
0.00,0.00,0.00,0.00,
0.00,0.00,0.00,0.00,
0.00,0.00,0.00,0.00,
0.00,0.00,0.00,0.00,
0.00,0.00,0.00,0.00,
0.00,0.00,0.00,0.00,
0.00,0.00,0.00,0.00,
0.00,0.00,0.00,0.00,
0.00,0.00,0.00,0.00,
0.00,0.00,0.00,0.00,
0.00,0.00,0.00,0.00,
0.00,0.00,0.00,0.00,
0.00,0.00,0.00,0.00,
0.00,0.00,0.00,0.00,
0.00,0.00,0.00,0.00,
0.00,0.00,0.00,0.00,
0.00,0.00,0.00,0.00,
0.00,0.00,0.00,0.00,
0.00,0.00,0.00,0.00,
0.00,0.00,0.00,0.00,
0.00,0.00,0.00,0.00,
0.00,0.00,0.00,0.00,
0.00,0.00,0.00,0.00,
0.00,0.00,0.00,0.00,
0.00,0.00,0.00,0.00,
0.00,0.00,0.00,0.00,
0.00,0.00,0.00,0.00,
0.00,0.00,0.00,0.00,
0.00,0.00,0.00,0.00,
0.00,0.00,0.00,0.00,
0.00,0.00,0.00,0.00,
0.00,0.00,0.00,0.00,
0.00,0.00,0.00,0.00,
0.00,0.00,0.00,0.00,
0.00,0.00,0.00,0.00,
0.00,0.00,0.00,0.00,
0.00,0.00,0.00,0.00,
0.00,0.00,0.00,0.00,
0.00,0.00,0.00,0.00,
0.00,0.00,0.00,0.00,
0.00,0.00,0.00,0.00,
0.00,0.00,0.00,0.00,
0.00,0.00,0.00,0.00,
0.00,0.00,0.00,0.00,
0.00,0.00,0.00,0.00,
0.00,0.00,0.00,0.00,
0.00,0.00,0.00,0.00,
0.00,0.00,0.00,0.00,
0.00,0.00,0.00,0.00,
0.00,0.00,0.00,0.00,
0.00,0.00,0.00,0.00,
0.00,0.00,0.00,0.00,
0.00,0.00,0.00,0.00,
0.00,0.00,0.00,0.00,
0.00,0.00,0.00,0.00,
0.00,0.00,0.00,0.00,
0.00,0.00,0.00,0.00,
0.00,0.00,0.00,0.00,
0.00,0.00,0.00,0.00,
0.00,0.00,0.00,0.00,
0.00,0.00,0.00,0.00,
0.00,0.00,0.00,0.00,
0.00,0.00,0.00,0.00,
0.00,0.00,0.00,0.00,
0.00,0.00,0.00,0.00,
0.00,0.00,0.00,0.00,
0.00,0.00,0.00,0.00,
0.00,0.00,0.00,0.00,
0.00,0.00,0.00,0.00,
0.00,0.00,0.00,0.00,
0.00,0.00,0.00,0.00,
0.00,0.00,0.00,0.00,
0.00,0.00,0.00,0.00,
0.00,0.00,0.00,0.00,
0.00,0.00,0.00,0.00,
0.00,0.00,0.00,0.00,
0.00,0.00,0.00,0.00,
0.00,0.00,0.00,0.00,
0.00,0.00,0.00,0.00,
0.00,0.00,0.00,0.00,
0.00,0.00,0.00,0.00,
0.00,0.00,0.00,0.00,
0.00,0.00,0.00,0.00,
0.00,0.00,0.00,0.00,
0.00,0.00,0.00,0.00,
0.00,0.00,0.00,0.00,
0.00,0.00,0.00,0.00,
0.00,0.00,0.00,0.00,
0.00,0.00,0.00,0.00,
0.00,0.00,0.00,0.00,
0.00,0.00,0.00,0.00,
0.00,0.00,0.00,0.00,
0.00,0.00,0.00,0.00,
0.00,0.00,0.00,0.00,
0.00,0.00,0.00,0.00,
0.00,0.00,0.00,0.00,
0.00,0.00,0.00,0.00,
0.00,0.00,0.00,0.00,
0.00,0.00,0.00,0.00,
0.00,0.00,0.00,0.00,
0.00,0.00,0.00,0.00,
0.00,0.00,0.00,0.00,
0.00,0.00,0.00,0.00,
0.00,0.00,0.00,0.00,
0.00,0.00,0.00,0.00,
0.00,0.00,0.00,0.00,
0.00,0.00,0.00,0.00,
0.00,0.00,0.00,0.00,
0.00,0.00,0.00,0.00,
0.00,0.00,0.00,0.00,
0.00,0.00,0.00,0.00,
0.00,0.00,0.00,0.00,
0.46,0.00,0.00,0.00,
0.91,0.00,0.00,0.00,
1.33,0.00,0.00,0.00,
1.73,0.00,0.00,0.00,
1.65,0.00,0.00,0.00,
1.57,0.00,0.00,0.00,
1.49,0.00,0.00,0.00,
1.42,0.00,0.00,0.00,
1.35,0.00,0.00,0.00,
1.29,0.00,0.00,0.00,
1.22,0.00,0.00,0.00,
1.16,0.00,0.00,0.00,
1.11,0.00,0.00,0.00,
1.05,0.00,0.00,0.00,
1.00,0.00,0.00,0.00,
0.95,0.00,0.00,0.00,
0.90,0.00,0.00,0.00,
0.85,0.00,0.00,0.00,
0.81,0.00,0.00,0.00,
0.77,0.00,0.00,0.00,
0.73,0.00,0.00,0.00,
0.69,0.00,0.00,0.00,
0.65,0.00,0.00,0.00,
0.62,0.00,0.00,0.00,
0.58,0.00,0.00,0.00,
0.55,0.00,0.00,0.00,
0.52,0.00,0.00,0.00,
0.49,0.00,0.00,0.00,
0.46,0.00,0.00,0.00,
0.43,0.00,0.00,0.00,
0.41,0.00,0.00,0.00,
0.38,0.00,0.00,0.00,
0.36,0.00,0.00,0.00,
0.34,0.00,0.00,0.00,
0.31,0.00,0.00,0.00,
0.29,0.00,0.00,0.00,
0.27,0.00,0.00,0.00,
0.26,0.00,0.00,0.00,
0.24,0.00,0.00,0.00,
0.22,0.00,0.00,0.00,
0.20,0.00,0.00,0.00,
0.19,0.00,0.00,0.00,
0.17,0.00,0.00,0.00,
0.16,0.00,0.00,0.00,
0.14,0.00,0.00,0.00,
0.13,0.00,0.00,0.00,
0.12,0.00,0.00,0.00,
0.11,0.00,0.00,0.00,
0.10,0.00,0.00,0.00,
0.09,0.00,0.00,0.00,
0.08,0.00,0.00,0.00,
0.07,0.00,0.00,0.00,
0.06,0.00,0.00,0.00,
0.05,0.00,0.00,0.00,
0.04,0.00,0.00,0.00,
0.03,0.00,0.00,0.00,
0.02,0.00,0.00,0.00,
0.02,0.00,0.00,0.00,
0.01,0.00,0.00,0.00,
0.00,0.00,0.00,0.00,
-0.00,0.00,0.00,0.00,
-0.01,0.00,0.00,0.00,
-0.01,0.00,0.00,0.00,
-0.02,0.00,0.00,0.00,
-0.02,0.00,0.00,0.00,
-0.03,0.00,0.00,0.00,
-0.03,0.00,0.00,0.00,
-0.04,0.00,0.00,0.00,
-0.04,0.00,0.00,0.00,
-0.05,0.00,0.00,0.00,
-0.05,0.00,0.00,0.00,
-0.05,0.00,0.00,0.00,
-0.06,0.00,0.00,0.00,
-0.06,0.00,0.00,0.00,
-0.06,0.00,0.00,0.00,
-0.06,0.00,0.00,0.00,
-0.07,0.00,0.00,0.00,
-0.07,0.00,0.00,0.00,
-0.07,0.00,0.00,0.00,
-0.07,0.00,0.00,0.00,
-0.08,0.00,0.00,0.00,
-0.08,0.00,0.00,0.00,
-0.08,0.00,0.00,0.00,
-0.08,0.00,0.00,0.00,
-0.08,0.00,0.00,0.00,
-0.08,0.00,0.00,0.00,
-0.08,0.00,0.00,0.00,
-0.09,0.00,0.00,0.00,
-0.09,0.00,0.00,0.00,
-0.09,0.00,0.00,0.00,
-0.09,0.00,0.00,0.00,
-0.09,0.00,0.00,0.00,
-0.09,0.00,0.00,0.00,
-0.09,0.00,0.00,0.00,
-0.09,0.00,0.00,0.00,
-0.09,0.00,0.00,0.00,
-0.09,0.00,0.00,0.00,
-0.09,0.09,0.00,0.00,
-0.09,0.19,0.00,0.00,
-0.09,0.28,0.00,0.00,
-0.09,0.28,0.00,0.00,
-0.09,0.27,0.00,0.00,
-0.09,0.27,0.00,0.00,
-0.09,0.26,0.00,0.00,
-0.09,0.25,0.00,0.00,
-0.09,0.25,0.00,0.00,
-0.09,0.24,0.00,0.00,
-0.09,0.23,0.00,0.00,
-0.09,0.23,0.00,0.00,
-0.09,0.22,0.00,0.00,
-0.09,0.21,0.00,0.00,
-0.09,0.20,0.00,0.00,
-0.09,0.19,0.00,0.00,
-0.09,0.18,0.00,0.00,
-0.09,0.17,0.00,0.00,
-0.09,0.16,0.00,0.00,
-0.09,0.15,0.00,0.00,
-0.09,0.14,0.00,0.00,
-0.09,0.13,0.00,0.00,
-0.09,0.12,0.00,0.00,
-0.09,0.11,0.00,0.00,
-0.09,0.10,0.00,0.00,
-0.09,0.08,0.00,0.00,
-0.09,0.07,0.00,0.00,
-0.09,0.06,0.00,0.00,
-0.09,0.05,0.00,0.00,
-0.09,0.04,0.00,0.00,
-0.08,0.03,0.00,0.00,
-0.08,0.02,0.00,0.00,
-0.08,0.01,0.00,0.00,
-0.08,-0.00,0.00,0.00,
-0.08,-0.02,0.00,0.00,
-0.08,-0.03,0.00,0.00,
-0.08,-0.04,0.00,0.00,
-0.08,-0.05,0.00,0.00,
-0.08,-0.06,0.00,0.00,
-0.08,-0.07,0.00,0.00,
-0.08,-0.07,0.00,0.00,
-0.08,-0.08,0.00,0.00,
-0.08,-0.09,0.00,0.00,
-0.08,-0.10,0.00,0.00,
-0.08,-0.11,0.00,0.00,
-0.08,-0.12,0.00,0.00,
-0.08,-0.12,0.00,0.00,
-0.07,-0.13,0.00,0.00,
-0.07,-0.14,0.00,0.00,
-0.07,-0.14,0.00,0.00,
-0.07,-0.15,0.00,0.00,
-0.07,-0.15,0.00,0.00,
-0.07,-0.16,0.00,0.00,
-0.07,-0.16,0.00,0.00,
-0.07,-0.17,0.00,0.00,
-0.07,-0.17,0.00,0.00,
-0.07,-0.17,0.00,0.00,
-0.07,-0.17,0.00,0.00,
-0.07,-0.18,0.00,0.00,
-0.07,-0.18,0.00,0.00,
-0.07,-0.18,0.00,0.00,
-0.07,-0.18,0.00,0.00,
-0.07,-0.18,0.00,0.00,
-0.06,-0.18,0.00,0.00,
-0.06,-0.18,0.00,0.00,
-0.06,-0.18,0.00,0.00,
-0.06,-0.18,0.00,0.00,
-0.06,-0.18,0.10,0.00,
-0.06,-0.17,0.20,0.00,
-0.06,-0.17,0.21,0.00,
-0.06,-0.17,0.22,0.00,
-0.06,-0.17,0.23,0.00,
-0.06,-0.16,0.23,0.00,
-0.06,-0.16,0.24,0.00,
-0.06,-0.16,0.25,0.00,
-0.06,-0.15,0.26,0.00,
-0.06,-0.15,0.27,0.00,
-0.06,-0.14,0.28,0.00,
-0.06,-0.14,0.29,0.00,
-0.06,-0.13,0.29,0.00,
-0.05,-0.13,0.30,0.00,
-0.05,-0.12,0.31,0.00,
-0.05,-0.11,0.32,0.00,
-0.05,-0.11,0.32,0.00,
-0.05,-0.10,0.33,0.00,
-0.05,-0.09,0.34,0.00,
-0.05,-0.09,0.34,0.00,
-0.05,-0.08,0.35,0.00,
-0.05,-0.07,0.35,0.00,
-0.05,-0.07,0.36,0.00,
-0.05,-0.06,0.36,0.00,
-0.05,-0.05,0.37,0.00,
-0.05,-0.05,0.37,0.00,
-0.05,-0.04,0.37,0.00,
-0.05,-0.03,0.38,0.00,
-0.05,-0.03,0.38,0.00,
-0.05,-0.02,0.38,0.00,
-0.05,-0.01,0.38,0.00,
-0.05,-0.01,0.38,0.00,
-0.04,0.00,0.38,0.00,
-0.04,0.01,0.37,0.00,
-0.04,0.01,0.37,0.00,
-0.04,0.02,0.37,0.00,
-0.04,0.03,0.36,0.00,
-0.04,0.03,0.36,0.00,
-0.04,0.04,0.35,0.00,
-0.04,0.05,0.34,0.00,
-0.04,0.05,0.34,0.00,
-0.04,0.06,0.33,0.00,
-0.04,0.06,0.32,0.00,
-0.04,0.07,0.31,0.00,
-0.04,0.07,0.29,0.00,
-0.04,0.08,0.28,0.00,
-0.04,0.08,0.27,0.00,
-0.04,0.08,0.25,0.00,
-0.04,0.09,0.23,0.00,
-0.04,0.09,0.22,0.00,
-0.04,0.09,0.20,0.00,
-0.04,0.10,0.18,0.12,
-0.04,0.10,0.15,0.28,
-0.04,0.10,0.13,0.41,
-0.04,0.10,0.11,0.57,
-0.04,0.11,0.08,0.79,
-0.03,0.11,0.06,1.05,
-0.03,0.11,0.03,1.33,
-0.03,0.11,0.00,1.61,
-0.03,0.11,-0.03,1.89,
-0.03,0.11,-0.06,2.16,
-0.03,0.11,-0.09,2.41,
-0.03,0.11,-0.13,2.63,
-0.03,0.11,-0.16,2.84,
-0.03,0.11,-0.20,3.04,
-0.03,0.11,-0.24,3.21,
-0.03,0.11,-0.28,3.37,
-0.03,0.11,-0.32,3.52,
-0.03,0.11,-0.36,3.65,
-0.03,0.11,-0.40,3.77,
-0.03,0.10,-0.44,3.88,
-0.03,0.10,-0.49,3.98,
-0.03,0.10,-0.53,4.07,
-0.03,0.10,-0.58,4.15,
-0.03,0.09,-0.62,4.23,
-0.03,0.09,-0.67,4.29,
-0.03,0.09,-0.72,4.35,
-0.03,0.09,-0.76,4.41,
-0.03,0.08,-0.81,4.46,
-0.03,0.08,-0.86,4.51,
-0.03,0.08,-0.91,4.55,
-0.03,0.07,-0.96,4.58,
-0.03,0.07,-1.00,4.62,
-0.03,0.06,-1.05,4.65,
-0.03,0.06,-1.10,4.68,
-0.03,0.06,-1.15,4.70,
-0.03,0.05,-1.19,4.72,
-0.02,0.05,-1.23,4.74,
-0.02,0.04,-1.28,4.76,
-0.02,0.04,-1.32,4.78,
-0.02,0.03,-1.36,4.79,
-0.02,0.03,-1.40,4.81,
-0.02,0.03,-1.43,4.82,
-0.02,0.02,-1.47,4.83,
-0.02,0.02,-1.50,4.84,
-0.02,0.01,-1.53,4.85,
-0.02,0.01,-1.56,4.86,
-0.02,0.00,-1.58,4.86,
-0.02,0.00,-1.60,4.87,
-0.02,-0.00,-1.62,4.87,
-0.02,-0.01,-1.64,4.88,
-0.02,-0.01,-1.65,4.88,
-0.02,-0.02,-1.66,4.88,
-0.02,-0.02,-1.67,4.89,
-0.02,-0.02,-1.68,4.89,
-0.02,-0.03,-1.68,4.89,
-0.02,-0.03,-1.68,4.89,
-0.02,-0.03,-1.67,4.90,
-0.02,-0.04,-1.66,4.90,
-0.02,-0.04,-1.65,4.90,
-0.02,-0.04,-1.64,4.90,
-0.02,-0.05,-1.62,4.90,
-0.02,-0.05,-1.60,4.90,
-0.02,-0.05,-1.57,4.90,
-0.02,-0.05,-1.54,4.90,
-0.02,-0.06,-1.51,4.90,
-0.02,-0.06,-1.48,4.90,
-0.02,-0.06,-1.44,4.90,
-0.02,-0.06,-1.40,4.90,
-0.02,-0.06,-1.35,4.90,
-0.02,-0.07,-1.30,4.89,
-0.02,-0.07,-1.25,4.89,
-0.02,-0.07,-1.19,4.89,
-0.02,-0.07,-1.13,4.89,
-0.02,-0.07,-1.07,4.89,
-0.02,-0.07,-1.00,4.89,
-0.02,-0.07,-0.93,4.89,
