QUIESCENT_cell,ALMOSTOSC_cell,OSCILLATORY_cell,PLATEAU_cell,
0.00,0.00,0.00,0.00,
0.00,0.00,0.00,0.00,
0.00,0.00,0.00,0.00,
0.00,0.00,0.00,0.00,
0.00,0.00,0.00,0.00,
0.00,0.00,0.00,0.00,
0.00,0.00,0.00,0.00,
0.00,0.00,0.00,0.00,
0.00,0.00,0.00,0.00,
0.00,0.00,0.00,0.00,
0.00,0.00,0.00,0.00,
0.00,0.00,0.00,0.00,
0.00,0.00,0.00,0.00,
0.00,0.00,0.00,0.00,
0.00,0.00,0.00,0.00,
0.00,0.00,0.00,0.00,
0.00,0.00,0.00,0.00,
0.00,0.00,0.00,0.00,
0.00,0.00,0.00,0.00,
0.00,0.00,0.00,0.00,
0.00,0.00,0.00,0.00,
0.00,0.00,0.00,0.00,
0.00,0.00,0.00,0.00,
0.00,0.00,0.00,0.00,
0.00,0.00,0.00,0.00,
0.00,0.00,0.00,0.00,
0.00,0.00,0.00,0.00,
0.00,0.00,0.00,0.00,
0.00,0.00,0.00,0.00,
0.00,0.00,0.00,0.00,
0.00,0.00,0.00,0.00,
0.00,0.00,0.00,0.00,
0.00,0.00,0.00,0.00,
0.00,0.00,0.00,0.00,
0.00,0.00,0.00,0.00,
0.00,0.00,0.00,0.00,
0.00,0.00,0.00,0.00,
0.00,0.00,0.00,0.00,
0.00,0.00,0.00,0.00,
0.00,0.00,0.00,0.00,
0.00,0.00,0.00,0.00,
0.00,0.00,0.00,0.00,
0.00,0.00,0.00,0.00,
0.00,0.00,0.00,0.00,
0.00,0.00,0.00,0.00,
0.00,0.00,0.00,0.00,
0.00,0.00,0.00,0.00,
0.00,0.00,0.00,0.00,
0.00,0.00,0.00,0.00,
0.00,0.00,0.00,0.00,
0.00,0.00,0.00,0.00,
0.00,0.00,0.00,0.00,
0.00,0.00,0.00,0.00,
0.00,0.00,0.00,0.00,
0.00,0.00,0.00,0.00,
0.00,0.00,0.00,0.00,
0.00,0.00,0.00,0.00,
0.00,0.00,0.00,0.00,
0.00,0.00,0.00,0.00,
0.00,0.00,0.00,0.00,
0.00,0.00,0.00,0.00,
0.00,0.00,0.00,0.00,
0.00,0.00,0.00,0.00,
0.00,0.00,0.00,0.00,
0.00,0.00,0.00,0.00,
0.00,0.00,0.00,0.00,
0.00,0.00,0.00,0.00,
0.00,0.00,0.00,0.00,
0.00,0.00,0.00,0.00,
0.00,0.00,0.00,0.00,
0.00,0.00,0.00,0.00,
0.00,0.00,0.00,0.00,
0.00,0.00,0.00,0.00,
0.00,0.00,0.00,0.00,
0.00,0.00,0.00,0.00,
0.00,0.00,0.00,0.00,
0.00,0.00,0.00,0.00,
0.00,0.00,0.00,0.00,
0.00,0.00,0.00,0.00,
0.00,0.00,0.00,0.00,
0.00,0.00,0.00,0.00,
0.00,0.00,0.00,0.00,
0.00,0.00,0.00,0.00,
0.00,0.00,0.00,0.00,
0.00,0.00,0.00,0.00,
0.00,0.00,0.00,0.00,
0.00,0.00,0.00,0.00,
0.00,0.00,0.00,0.00,
0.00,0.00,0.00,0.00,
0.00,0.00,0.00,0.00,
0.00,0.00,0.00,0.00,
0.00,0.00,0.00,0.00,
0.00,0.00,0.00,0.00,
0.00,0.00,0.00,0.00,
0.00,0.00,0.00,0.00,
0.00,0.00,0.00,0.00,
0.00,0.00,0.00,0.00,
0.00,0.00,0.00,0.00,
0.00,0.00,0.00,0.00,
0.00,0.00,0.00,0.00,
0.00,0.00,0.00,0.00,
0.00,0.00,0.00,0.00,
0.00,0.00,0.00,0.00,
0.00,0.00,0.00,0.00,
0.00,0.00,0.00,0.00,
0.00,0.00,0.00,0.00,
0.00,0.00,0.00,0.00,
0.00,0.00,0.00,0.00,
0.00,0.00,0.00,0.00,
0.00,0.00,0.00,0.00,
0.00,0.00,0.00,0.00,
0.00,0.00,0.00,0.00,
0.00,0.00,0.00,0.00,
0.00,0.00,0.00,0.00,
0.00,0.00,0.00,0.00,
0.00,0.00,0.00,0.00,
0.00,0.00,0.00,0.00,
0.00,0.00,0.00,0.00,
0.00,0.00,0.00,0.00,
0.00,0.00,0.00,0.00,
0.00,0.00,0.00,0.00,
0.00,0.00,0.00,0.00,
0.00,0.00,0.00,0.00,
0.00,0.00,0.00,0.00,
0.00,0.00,0.00,0.00,
0.00,0.00,0.00,0.00,
0.00,0.00,0.00,0.00,
0.00,0.00,0.00,0.00,
0.00,0.00,0.00,0.00,
0.00,0.00,0.00,0.00,
0.00,0.00,0.00,0.00,
0.00,0.00,0.00,0.00,
0.00,0.00,0.00,0.00,
0.00,0.00,0.00,0.00,
0.00,0.00,0.00,0.00,
0.00,0.00,0.00,0.00,
0.00,0.00,0.00,0.00,
0.00,0.00,0.00,0.00,
0.00,0.00,0.00,0.00,
0.00,0.00,0.00,0.00,
0.00,0.00,0.00,0.00,
0.00,0.00,0.00,0.00,
0.00,0.00,0.00,0.00,
0.00,0.00,0.00,0.00,
0.00,0.00,0.00,0.00,
0.00,0.00,0.00,0.00,
0.00,0.00,0.00,0.00,
0.00,0.00,0.00,0.00,
0.00,0.00,0.00,0.00,
0.00,0.00,0.00,0.00,
0.00,0.00,0.00,0.00,
0.00,0.00,0.00,0.00,
0.00,0.00,0.00,0.00,
0.00,0.00,0.00,0.00,
0.00,0.00,0.00,0.00,
0.46,0.09,0.10,0.12,
0.91,0.19,0.20,0.28,
0.86,0.19,0.21,0.41,
0.82,0.18,0.22,0.57,
0.78,0.18,0.23,0.79,
0.75,0.18,0.23,1.05,
0.71,0.17,0.24,1.33,
0.68,0.17,0.25,1.61,
0.64,0.16,0.26,1.89,
0.61,0.16,0.27,2.16,
0.58,0.15,0.28,2.41,
0.55,0.15,0.29,2.63,
0.53,0.14,0.29,2.84,
0.50,0.14,0.30,3.04,
0.47,0.13,0.31,3.21,
0.45,0.12,0.32,3.37,
0.43,0.12,0.32,3.52,
0.41,0.11,0.33,3.65,
0.38,0.10,0.34,3.77,
0.36,0.10,0.34,3.88,
0.34,0.09,0.35,3.98,
0.33,0.08,0.35,4.07,
0.31,0.07,0.36,4.15,
0.29,0.07,0.36,4.23,
0.28,0.06,0.37,4.29,
0.26,0.05,0.37,4.35,
0.24,0.04,0.37,4.41,
0.23,0.04,0.38,4.46,
0.22,0.03,0.38,4.51,
0.20,0.02,0.38,4.55,
0.19,0.01,0.38,4.58,
0.18,0.01,0.38,4.62,
0.17,0.00,0.38,4.65,
0.16,-0.01,0.37,4.68,
0.15,-0.01,0.37,4.70,
0.14,-0.02,0.37,4.72,
0.13,-0.03,0.36,4.74,
0.12,-0.03,0.36,4.76,
0.11,-0.04,0.35,4.78,
0.10,-0.05,0.34,4.79,
0.09,-0.05,0.34,4.81,
0.09,-0.06,0.33,4.82,
0.08,-0.06,0.32,4.83,
0.07,-0.07,0.31,4.84,
0.07,-0.07,0.29,4.85,
0.06,-0.08,0.28,4.86,
0.05,-0.08,0.27,4.86,
0.05,-0.09,0.25,4.87,
0.04,-0.09,0.23,4.87,
0.04,-0.10,0.22,4.88,
0.03,-0.10,0.20,4.88,
0.03,-0.10,0.18,4.88,
0.02,-0.11,0.15,4.89,
0.02,-0.11,0.13,4.89,
0.02,-0.11,0.11,4.89,
0.01,-0.11,0.08,4.89,
0.01,-0.12,0.06,4.90,
0.00,-0.12,0.03,4.90,
0.00,-0.12,0.00,4.90,
-0.00,-0.12,-0.03,4.90,
-0.00,-0.12,-0.06,4.90,
-0.01,-0.12,-0.09,4.90,
-0.01,-0.12,-0.13,4.90,
-0.01,-0.12,-0.16,4.90,
-0.01,-0.12,-0.20,4.90,
-0.02,-0.12,-0.24,4.90,
-0.02,-0.12,-0.28,4.90,
-0.02,-0.12,-0.32,4.90,
-0.02,-0.12,-0.36,4.90,
-0.02,-0.11,-0.40,4.89,
-0.03,-0.11,-0.44,4.89,
-0.03,-0.11,-0.49,4.89,
-0.03,-0.11,-0.53,4.89,
-0.03,-0.11,-0.58,4.89,
-0.03,-0.10,-0.62,4.89,
-0.03,-0.10,-0.67,4.89,
-0.03,-0.10,-0.72,4.89,
-0.04,-0.09,-0.76,4.89,
-0.04,-0.09,-0.81,4.88,
-0.04,-0.09,-0.86,4.88,
-0.04,-0.08,-0.91,4.88,
-0.04,-0.08,-0.96,4.88,
-0.04,-0.07,-1.00,4.88,
-0.04,-0.07,-1.05,4.88,
-0.04,-0.07,-1.10,4.87,
-0.04,-0.06,-1.15,4.87,
-0.04,-0.06,-1.19,4.87,
-0.04,-0.05,-1.23,4.87,
-0.04,-0.05,-1.28,4.87,
-0.04,-0.04,-1.32,4.87,
-0.04,-0.04,-1.36,4.87,
-0.04,-0.03,-1.40,4.86,
-0.05,-0.03,-1.43,4.86,
-0.05,-0.02,-1.47,4.86,
-0.05,-0.02,-1.50,4.86,
-0.05,-0.01,-1.53,4.86,
-0.05,-0.01,-1.56,4.86,
-0.05,-0.01,-1.58,4.85,
-0.05,-0.00,-1.60,4.85,
-0.05,0.00,-1.62,4.85,
-0.05,0.01,-1.64,4.85,
-0.05,0.01,-1.65,4.85,
-0.05,0.02,-1.66,4.85,
-0.05,0.02,-1.67,4.85,
-0.05,0.02,-1.68,4.84,
-0.05,0.03,-1.68,4.84,
-0.05,0.03,-1.68,4.84,
-0.05,0.04,-1.67,4.84,
-0.05,0.04,-1.66,4.84,
-0.05,0.04,-1.65,4.84,
-0.05,0.05,-1.64,4.83,
-0.05,0.05,-1.62,4.83,
-0.05,0.05,-1.60,4.83,
-0.05,0.05,-1.57,4.83,
-0.05,0.06,-1.54,4.83,
-0.04,0.06,-1.51,4.83,
-0.04,0.06,-1.48,4.83,
-0.04,0.06,-1.44,4.82,
-0.04,0.07,-1.40,4.82,
-0.04,0.07,-1.35,4.82,
-0.04,0.07,-1.30,4.82,
-0.04,0.07,-1.25,4.82,
-0.04,0.07,-1.19,4.82,
-0.04,0.07,-1.13,4.82,
-0.04,0.07,-1.07,4.81,
-0.04,0.07,-1.00,4.81,
-0.04,0.07,-0.93,4.81,
-0.04,0.08,-0.85,4.81,
-0.04,0.08,-0.77,4.81,
-0.04,0.08,-0.69,4.81,
-0.04,0.08,-0.60,4.81,
-0.04,0.07,-0.50,4.80,
-0.04,0.07,-0.41,4.80,
-0.04,0.07,-0.30,4.80,
-0.04,0.07,-0.19,4.80,
-0.04,0.07,-0.08,4.80,
-0.04,0.07,0.04,4.80,
-0.04,0.07,0.16,4.80,
-0.04,0.07,0.29,4.80,
-0.04,0.07,0.42,4.79,
-0.04,0.06,0.56,4.79,
-0.04,0.06,0.70,4.79,
-0.04,0.06,0.85,4.79,
-0.04,0.06,1.00,4.79,
-0.04,0.06,1.15,4.79,
-0.04,0.05,1.31,4.79,
-0.04,0.05,1.46,4.78,
-0.04,0.05,1.62,4.78,
-0.04,0.05,1.78,4.78,
-0.04,0.04,1.93,4.78,
-0.04,0.04,2.08,4.78,
-0.03,0.04,2.22,4.78,
-0.03,0.04,2.37,4.78,
-0.03,0.03,2.50,4.78,
-0.03,0.03,2.63,4.77,
-0.03,0.03,2.75,4.77,
-0.03,0.02,2.86,4.77,
-0.03,0.02,2.96,4.77,
-0.03,0.02,3.06,4.77,
-0.03,0.02,3.15,4.77,
-0.03,0.01,3.22,4.77,
-0.03,0.01,3.29,4.77,
-0.03,0.01,3.35,4.77,
-0.03,0.00,3.40,4.76,
-0.03,0.00,3.44,4.76,
-0.03,-0.00,3.47,4.76,
-0.03,-0.00,3.50,4.76,
-0.03,-0.01,3.51,4.76,
-0.03,-0.01,3.52,4.76,
-0.03,-0.01,3.52,4.76,
-0.03,-0.01,3.52,4.76,
-0.03,-0.02,3.51,4.76,
-0.03,-0.02,3.49,4.75,
-0.03,-0.02,3.46,4.75,
-0.03,-0.02,3.43,4.75,
-0.03,-0.03,3.39,4.75,
-0.03,-0.03,3.35,4.75,
-0.03,-0.03,3.31,4.75,
-0.03,-0.03,3.26,4.75,
-0.03,-0.03,3.20,4.75,
-0.03,-0.04,3.14,4.75,
-0.03,-0.04,3.08,4.74,
-0.03,-0.04,3.01,4.74,
-0.03,-0.04,2.94,4.74,
-0.03,-0.04,2.86,4.74,
-0.02,-0.04,2.78,4.74,
-0.02,-0.04,2.70,4.74,
-0.02,-0.04,2.61,4.74,
-0.02,-0.04,2.52,4.74,
-0.02,-0.05,2.43,4.74,
-0.02,-0.05,2.33,4.74,
-0.02,-0.05,2.23,4.73,
-0.02,-0.05,2.13,4.73,
-0.02,-0.05,2.02,4.73,
-0.02,-0.05,1.91,4.73,
-0.02,-0.05,1.79,4.73,
-0.02,-0.05,1.67,4.73,
-0.02,-0.05,1.54,4.73,
-0.02,-0.05,1.41,4.73,
-0.02,-0.05,1.28,4.73,
-0.02,-0.05,1.14,4.73,
-0.02,-0.04,0.99,4.72,
-0.02,-0.04,0.84,4.72,
-0.02,-0.04,0.67,4.72,
-0.02,-0.04,0.51,4.72,
-0.02,-0.04,0.33,4.72,
-0.02,-0.04,0.15,4.72,
-0.02,-0.04,-0.05,4.72,
-0.02,-0.04,-0.25,4.72,
-0.02,-0.04,-0.45,4.72,
-0.02,-0.04,-0.67,4.72,
-0.02,-0.03,-0.89,4.72,
-0.02,-0.03,-1.12,4.71,
-0.02,-0.03,-1.36,4.71,
-0.02,-0.03,-1.59,4.71,
-0.02,-0.03,-1.83,4.71,
-0.02,-0.03,-2.06,4.71,
-0.02,-0.02,-2.29,4.71,
-0.02,-0.02,-2.52,4.71,
-0.02,-0.02,-2.73,4.71,
-0.02,-0.02,-2.94,4.71,
-0.02,-0.02,-3.13,4.71,
-0.02,-0.02,-3.31,4.71,
-0.02,-0.01,-3.48,4.70,
-0.02,-0.01,-3.64,4.70,
-0.02,-0.01,-3.78,4.70,
-0.02,-0.01,-3.90,4.70,
-0.02,-0.01,-4.01,4.70,
-0.02,-0.00,-4.11,4.70,
-0.02,-0.00,-4.19,4.70,
-0.02,-0.00,-4.26,4.70,
-0.02,0.00,-4.32,4.70,
-0.02,0.00,-4.36,4.70,
-0.02,0.00,-4.40,4.70,
-0.01,0.01,-4.42,4.70,
-0.01,0.01,-4.43,4.70,
-0.01,0.01,-4.43,4.69,
-0.01,0.01,-4.43,4.69,
-0.01,0.01,-4.41,4.69,
-0.01,0.01,-4.39,4.69,
-0.01,0.01,-4.36,4.69,
-0.01,0.02,-4.32,4.69,
-0.01,0.02,-4.27,4.69,
-0.01,0.02,-4.22,4.69,
-0.01,0.02,-4.17,4.69,
-0.01,0.02,-4.11,4.69,
-0.01,0.02,-4.04,4.69,
-0.01,0.02,-3.97,4.69,
-0.01,0.02,-3.90,4.69,
-0.01,0.02,-3.82,4.68,
-0.01,0.03,-3.74,4.68,
-0.01,0.03,-3.66,4.68,
-0.01,0.03,-3.57,4.68,
-0.01,0.03,-3.48,4.68,
-0.01,0.03,-3.38,4.68,
-0.01,0.03,-3.28,4.68,
-0.01,0.03,-3.18,4.68,
-0.01,0.03,-3.08,4.68,
-0.01,0.03,-2.98,4.68,
-0.01,0.03,-2.87,4.68,
-0.01,0.03,-2.76,4.68,
-0.01,0.03,-2.64,4.68,
-0.01,0.03,-2.53,4.68,
-0.01,0.03,-2.41,4.67,
-0.01,0.03,-2.28,4.67,
-0.01,0.03,-2.16,4.67,
-0.01,0.03,-2.03,4.67,
-0.01,0.03,-1.89,4.67,
-0.01,0.03,-1.75,4.67,
-0.01,0.03,-1.61,4.67,
-0.01,0.03,-1.46,4.67,
-0.01,0.03,-1.31,4.67,
-0.01,0.03,-1.15,4.67,
-0.01,0.02,-0.98,4.67,
-0.01,0.02,-0.81,4.67,
-0.01,0.02,-0.62,4.67,
-0.01,0.02,-0.43,4.67,
-0.01,0.02,-0.24,4.67,
-0.01,0.02,-0.03,4.66,
-0.01,0.02,0.19,4.66,
-0.01,0.02,0.41,4.66,
-0.01,0.02,0.65,4.66,
