Neuron_example,Neuron_1,Neuron_2,
0.00,0.00,0.00,
0.00,0.00,0.00,
0.00,0.00,0.00,
0.00,0.00,0.00,
0.00,0.00,0.00,
0.00,0.00,0.00,
0.00,0.00,0.00,
0.00,0.00,0.00,
0.00,0.00,0.00,
0.00,0.00,0.00,
0.00,0.00,0.00,
0.00,0.00,0.00,
0.00,0.00,0.00,
0.00,0.00,0.00,
0.00,0.00,0.00,
0.00,0.00,0.00,
0.00,0.00,0.00,
0.00,0.00,0.00,
0.00,0.00,0.00,
0.00,0.00,0.00,
0.00,0.00,0.00,
0.00,0.00,0.00,
0.00,0.00,0.00,
0.00,0.00,0.00,
0.00,0.00,0.00,
0.00,0.00,0.00,
0.00,0.00,0.00,
0.00,0.00,0.00,
0.00,0.00,0.00,
0.00,0.00,0.00,
0.00,0.00,0.00,
0.00,0.00,0.00,
0.00,0.00,0.00,
0.00,0.00,0.00,
0.00,0.00,0.00,
0.00,0.00,0.00,
0.00,0.00,0.00,
0.00,0.00,0.00,
0.00,0.00,0.00,
0.00,0.00,0.00,
0.00,0.00,0.00,
0.00,0.00,0.00,
0.00,0.00,0.00,
0.00,0.00,0.00,
0.00,0.00,0.00,
0.00,0.00,0.00,
0.00,0.00,0.00,
0.00,0.00,0.00,
0.00,0.00,0.00,
0.00,0.00,0.00,
0.00,0.00,0.00,
0.00,0.00,0.00,
0.00,0.00,0.00,
0.00,0.00,0.00,
0.00,0.00,0.00,
0.00,0.00,0.00,
0.00,0.00,0.00,
0.00,0.00,0.00,
0.00,0.00,0.00,
0.00,0.00,0.00,
0.00,0.00,0.00,
0.00,0.00,0.00,
0.00,0.00,0.00,
0.00,0.00,0.00,
0.00,0.00,0.00,
0.00,0.00,0.00,
0.00,0.00,0.00,
0.00,0.00,0.00,
0.00,0.00,0.00,
0.00,0.00,0.00,
0.00,0.00,0.00,
0.00,0.00,0.00,
0.00,0.00,0.00,
0.00,0.00,0.00,
0.00,0.00,0.00,
0.00,0.00,0.00,
0.00,0.00,0.00,
0.00,0.00,0.00,
0.00,0.00,0.00,
0.00,0.00,0.00,
0.00,0.00,0.00,
0.00,0.00,0.00,
0.00,0.00,0.00,
0.00,0.00,0.00,
0.00,0.00,0.00,
0.00,0.00,0.00,
0.00,0.00,0.00,
0.00,0.00,0.00,
0.00,0.00,0.00,
0.00,0.00,0.00,
0.00,0.00,0.00,
0.00,0.00,0.00,
0.00,0.00,0.00,
0.00,0.00,0.00,
0.00,0.00,0.00,
0.00,0.00,0.00,
0.00,0.00,0.00,
0.00,0.00,0.00,
0.00,0.00,0.00,
0.00,0.00,0.00,
0.00,0.00,0.00,
0.00,0.00,0.00,
0.00,0.00,0.00,
0.00,0.00,0.00,
0.00,0.00,0.00,
0.00,0.00,0.00,
0.00,0.00,0.00,
0.00,0.00,0.00,
0.00,0.00,0.00,
0.00,0.00,0.00,
0.00,0.00,0.00,
0.00,0.00,0.00,
0.00,0.00,0.00,
0.00,0.00,0.00,
0.00,0.00,0.00,
0.00,0.00,0.00,
0.00,0.00,0.00,
0.00,0.00,0.00,
0.00,0.00,0.00,
0.00,0.00,0.00,
0.00,0.00,0.00,
0.00,0.00,0.00,
0.00,0.00,0.00,
0.00,0.00,0.00,
0.00,0.00,0.00,
0.00,0.00,0.00,
0.00,0.00,0.00,
0.00,0.00,0.00,
0.00,0.00,0.00,
0.00,0.00,0.00,
0.00,0.00,0.00,
0.00,0.00,0.00,
0.00,0.00,0.00,
0.00,0.00,0.00,
0.00,0.00,0.00,
0.00,0.00,0.00,
0.00,0.00,0.00,
0.00,0.00,0.00,
0.00,0.00,0.00,
0.00,0.00,0.00,
0.00,0.00,0.00,
0.00,0.00,0.00,
0.00,0.00,0.00,
0.00,0.00,0.00,
0.00,0.00,0.00,
0.00,0.00,0.00,
0.00,0.00,0.00,
0.00,0.00,0.00,
0.00,0.00,0.00,
0.00,0.00,0.00,
0.00,0.00,0.00,
0.00,0.00,0.00,
0.00,0.00,0.00,
0.00,0.00,0.00,
0.00,0.00,0.00,
0.00,0.00,0.00,
0.00,0.00,0.00,
0.00,0.00,0.00,
0.00,0.00,0.00,
0.00,0.00,0.00,
0.00,0.00,0.00,
0.00,0.00,0.00,
0.00,0.00,0.00,
0.00,0.00,0.00,
0.00,0.00,0.00,
0.00,0.00,0.00,
0.00,0.00,0.00,
0.00,0.00,0.00,
0.00,0.00,0.00,
0.00,0.00,0.00,
0.00,0.00,0.00,
0.00,0.00,0.00,
0.00,0.00,0.00,
0.00,0.00,0.00,
0.00,0.00,0.00,
0.00,0.00,0.00,
0.00,0.00,0.00,
0.00,0.00,0.00,
0.00,0.00,0.00,
0.00,0.00,0.00,
0.00,0.00,0.00,
0.00,0.00,0.00,
0.00,0.00,0.00,
0.00,0.00,0.00,
0.00,0.00,0.00,
0.00,0.00,0.00,
0.00,0.00,0.00,
0.00,0.00,0.00,
0.10,0.20,0.26,
0.20,0.42,0.65,
0.21,0.45,0.94,
0.22,0.49,1.29,
0.23,0.52,1.70,
0.23,0.55,2.10,
0.24,0.58,2.47,
0.25,0.61,2.78,
0.26,0.64,3.03,
0.27,0.66,3.21,
0.28,0.68,3.33,
0.29,0.70,3.41,
0.29,0.71,3.44,
0.30,0.72,3.43,
0.31,0.73,3.39,
0.32,0.72,3.33,
0.32,0.72,3.25,
0.33,0.70,3.14,
0.34,0.68,3.03,
0.34,0.65,2.91,
0.35,0.62,2.77,
0.35,0.58,2.63,
0.36,0.53,2.48,
0.36,0.47,2.32,
0.37,0.40,2.16,
0.37,0.33,1.98,
0.37,0.25,1.80,
0.38,0.15,1.59,
0.38,0.05,1.36,
0.38,-0.06,1.08,
0.38,-0.18,0.74,
0.38,-0.32,0.26,
0.38,-0.46,-0.45,
0.37,-0.60,-1.44,
0.37,-0.76,-2.54,
0.37,-0.92,-3.50,
0.36,-1.08,-4.28,
0.36,-1.25,-4.86,
0.35,-1.41,-5.29,
0.34,-1.57,-5.58,
0.34,-1.73,-5.76,
0.33,-1.87,-5.84,
0.32,-2.00,-5.85,
0.31,-2.12,-5.79,
0.29,-2.22,-5.69,
0.28,-2.30,-5.55,
0.27,-2.36,-5.37,
0.25,-2.40,-5.18,
0.23,-2.42,-4.98,
0.22,-2.43,-4.76,
0.20,-2.41,-4.54,
0.18,-2.38,-4.31,
0.15,-2.33,-4.09,
0.13,-2.26,-3.87,
0.11,-2.18,-3.65,
0.08,-2.07,-3.43,
0.06,-1.96,-3.22,
0.03,-1.83,-3.01,
0.00,-1.68,-2.80,
-0.03,-1.51,-2.60,
-0.06,-1.33,-2.39,
-0.09,-1.13,-2.18,
-0.13,-0.91,-1.97,
-0.16,-0.67,-1.74,
-0.20,-0.40,-1.49,
-0.24,-0.11,-1.21,
-0.28,0.21,-0.86,
-0.32,0.55,-0.40,
-0.36,0.92,0.28,
-0.40,1.31,1.25,
-0.44,1.70,2.37,
-0.49,2.09,3.40,
-0.53,2.46,4.22,
-0.58,2.81,4.86,
-0.62,3.11,5.32,
-0.67,3.37,5.64,
-0.72,3.59,5.84,
-0.76,3.76,5.93,
-0.81,3.88,5.95,
-0.86,3.96,5.91,
-0.91,4.00,5.81,
-0.96,4.01,5.67,
-1.00,3.98,5.50,
-1.05,3.93,5.31,
-1.10,3.85,5.10,
-1.15,3.75,4.88,
-1.19,3.63,4.66,
-1.23,3.49,4.43,
-1.28,3.34,4.20,
-1.32,3.17,3.97,
-1.36,2.99,3.75,
-1.40,2.80,3.53,
-1.43,2.59,3.31,
-1.47,2.37,3.10,
-1.50,2.14,2.89,
-1.53,1.89,2.68,
-1.56,1.63,2.48,
-1.58,1.35,2.27,
-1.60,1.04,2.06,
-1.62,0.70,1.84,
-1.64,0.34,1.60,
-1.65,-0.06,1.33,
-1.66,-0.49,1.01,
-1.67,-0.96,0.60,
-1.68,-1.44,0.02,
-1.68,-1.94,-0.83,
-1.68,-2.42,-1.93,
-1.67,-2.88,-3.02,
-1.66,-3.28,-3.92,
-1.65,-3.64,-4.63,
-1.64,-3.93,-5.16,
-1.62,-4.16,-5.53,
-1.60,-4.34,-5.77,
-1.57,-4.45,-5.91,
-1.54,-4.52,-5.96,
-1.51,-4.55,-5.93,
-1.48,-4.54,-5.85,
-1.44,-4.49,-5.73,
-1.40,-4.41,-5.57,
-1.35,-4.31,-5.39,
-1.30,-4.19,-5.19,
-1.25,-4.05,-4.97,
-1.19,-3.89,-4.75,
-1.13,-3.72,-4.52,
-1.07,-3.53,-4.29,
-1.00,-3.34,-4.06,
-0.93,-3.13,-3.84,
-0.85,-2.91,-3.61,
-0.77,-2.68,-3.40,
-0.69,-2.44,-3.18,
-0.60,-2.19,-2.97,
-0.50,-1.92,-2.77,
-0.41,-1.64,-2.56,
-0.30,-1.34,-2.35,
-0.19,-1.01,-2.14,
-0.08,-0.65,-1.93,
0.04,-0.26,-1.70,
0.16,0.16,-1.44,
0.29,0.63,-1.15,
0.42,1.12,-0.78,
0.56,1.63,-0.28,
0.70,2.14,0.46,
0.85,2.64,1.48,
1.00,3.09,2.60,
1.15,3.49,3.59,
1.31,3.83,4.37,
1.46,4.11,4.97,
1.62,4.33,5.40,
1.78,4.48,5.69,
1.93,4.58,5.87,
2.08,4.64,5.95,
2.22,4.65,5.95,
2.37,4.62,5.89,
2.50,4.56,5.78,
2.63,4.47,5.64,
2.75,4.36,5.46,
2.86,4.23,5.27,
2.96,4.07,5.06,
3.06,3.91,4.84,
3.15,3.73,4.61,
3.22,3.54,4.38,
3.29,3.34,4.15,
3.35,3.12,3.92,
3.40,2.90,3.70,
3.44,2.67,3.48,
3.47,2.42,3.27,
3.50,2.17,3.06,
3.51,1.89,2.85,
3.52,1.60,2.64,
3.52,1.29,2.44,
3.52,0.96,2.23,
3.51,0.59,2.01,
3.49,0.20,1.79,
3.46,-0.24,1.55,
3.43,-0.71,1.27,
3.39,-1.21,0.94,
3.35,-1.72,0.50,
3.31,-2.24,-0.13,
3.26,-2.73,-1.05,
3.20,-3.18,-2.17,
3.14,-3.57,-3.22,
3.08,-3.90,-4.09,
3.01,-4.17,-4.75,
2.94,-4.37,-5.25,
2.86,-4.52,-5.59,
2.78,-4.61,-5.81,
2.70,-4.66,-5.93,
2.61,-4.66,-5.96,
2.52,-4.63,-5.92,
2.43,-4.56,-5.83,
2.33,-4.47,-5.70,
2.23,-4.35,-5.54,
2.13,-4.21,-5.35,
2.02,-4.06,-5.14,
1.91,-3.89,-4.92,
1.79,-3.71,-4.70,
1.67,-3.51,-4.47,
1.54,-3.31,-4.24,
1.41,-3.09,-4.01,
1.28,-2.87,-3.79,
1.14,-2.63,-3.57,
0.99,-2.39,-3.35,
0.84,-2.13,-3.14,
0.67,-1.85,-2.93,
0.51,-1.56,-2.72,
0.33,-1.25,-2.52,
0.15,-0.91,-2.31,
-0.05,-0.54,-2.10,
-0.25,-0.13,-1.88,
-0.45,0.31,-1.65,
-0.67,0.78,-1.38,
-0.89,1.29,-1.08,
-1.12,1.80,-0.69,
-1.36,2.32,-0.15,
-1.59,2.80,0.65,
-1.83,3.24,1.72,
-2.06,3.63,2.82,
-2.29,3.95,3.77,
-2.52,4.21,4.51,
-2.73,4.40,5.07,
-2.94,4.54,5.47,
-3.13,4.63,5.74,
-3.31,4.66,5.89,
-3.48,4.66,5.95,
-3.64,4.62,5.94,
-3.78,4.55,5.87,
-3.90,4.45,5.76,
