Neuron1,Neuron2,
0.01,0.01,
0.02,0.02,
0.03,0.03,
0.04,0.04,
0.04,0.04,
0.05,0.05,
0.06,0.06,
0.07,0.07,
0.07,0.07,
0.08,0.08,
0.09,0.09,
0.09,0.09,
0.10,0.10,
0.11,0.11,
0.50,0.11,
0.50,0.11,
0.50,0.11,
0.50,0.10,
0.51,0.10,
0.51,0.10,
0.51,0.09,
0.51,0.09,
0.52,0.09,
0.52,0.08,
0.52,0.08,
0.52,0.07,
0.52,0.07,
0.53,0.07,
0.53,0.06,
0.53,0.06,
0.54,0.06,
0.54,0.05,
0.54,0.05,
0.54,0.04,
0.55,0.04,
0.55,0.04,
0.55,0.03,
0.56,0.03,
0.56,0.02,
0.56,0.02,
0.56,0.02,
0.57,0.01,
0.57,0.01,
0.57,0.00,
0.58,0.00,
0.58,0.00,
0.58,0.00,
0.59,0.00,
0.59,0.00,
0.59,0.00,
0.60,0.00,
0.60,0.00,
0.60,0.00,
0.61,0.00,
0.61,0.00,
0.61,0.00,
0.61,0.00,
0.62,0.00,
0.62,0.00,
0.62,0.00,
0.62,0.00,
0.63,0.00,
0.63,0.00,
0.63,0.00,
0.63,0.00,
0.64,0.00,
0.64,0.00,
0.64,0.00,
0.64,0.00,
0.65,0.00,
0.65,0.00,
0.65,0.00,
0.65,0.00,
0.65,0.00,
0.66,0.00,
0.66,0.00,
0.66,0.00,
0.66,0.00,
0.66,0.00,
0.67,0.00,
0.67,0.00,
0.67,0.00,
0.67,0.00,
0.67,0.00,
0.67,0.00,
0.68,0.00,
0.68,0.00,
0.68,0.00,
0.68,0.00,
0.68,0.00,
0.68,0.00,
0.68,0.00,
0.69,0.00,
0.69,0.00,
0.69,0.00,
0.69,0.00,
0.69,0.00,
0.69,0.00,
0.69,0.00,
0.69,0.00,
0.70,0.00,
0.70,0.00,
0.70,0.00,
0.70,0.00,
0.70,0.00,
0.70,0.00,
0.70,0.00,
0.70,0.00,
0.70,0.00,
0.70,0.00,
0.70,0.00,
0.70,0.00,
0.70,0.00,
0.71,0.00,
0.71,0.00,
0.71,0.00,
0.71,0.00,
0.71,0.00,
0.71,0.00,
0.71,0.00,
0.71,0.00,
0.71,0.00,
0.71,0.00,
0.71,0.00,
0.71,0.00,
0.71,0.00,
0.71,0.00,
0.71,0.00,
0.71,0.00,
0.71,0.00,
0.71,0.00,
0.71,0.00,
0.71,0.00,
0.71,0.00,
0.71,0.00,
0.71,0.00,
0.71,0.00,
0.71,0.00,
0.71,0.00,
0.71,0.00,
0.71,0.00,
0.71,0.00,
0.71,0.00,
0.71,0.00,
0.71,0.00,
0.71,0.00,
0.71,0.00,
0.71,0.00,
0.71,0.00,
0.71,0.00,
0.71,0.00,
0.71,0.00,
0.71,0.00,
0.71,0.00,
0.71,0.00,
0.71,0.00,
0.71,0.00,
0.71,0.00,
0.71,0.00,
0.71,0.00,
0.71,0.00,
0.71,0.00,
0.71,0.00,
0.71,0.00,
0.71,0.00,
0.70,0.00,
0.70,0.00,
0.70,0.00,
0.70,0.00,
0.70,0.00,
0.70,0.00,
0.70,0.00,
0.70,0.00,
0.70,0.00,
0.70,0.00,
0.70,0.00,
0.70,0.00,
0.70,0.00,
0.70,0.00,
0.70,0.00,
0.69,0.00,
0.69,0.00,
0.69,0.00,
0.69,0.00,
0.69,0.00,
