N-01,N-02,N-03,N-04,N-05,N-06,N-07,N-08,N-09,N-10,N-11,N-12,N-13,N-14,N-15,N-16,N-17,N-18,N-19,N-20,
0.00,0.00,0.17,0.00,0.18,0.00,0.23,0.00,0.00,0.52,0.38,0.00,0.17,0.00,0.18,0.00,0.23,0.00,0.00,0.00,
0.00,0.00,0.17,0.00,0.18,0.00,0.23,0.00,0.00,0.52,0.38,0.00,0.17,0.00,0.18,0.00,0.23,0.00,0.00,0.00,
0.00,0.00,0.17,0.00,0.18,0.00,0.23,0.00,0.00,0.52,0.39,0.00,0.17,0.00,0.18,0.00,0.23,0.00,0.00,0.00,
0.00,0.00,0.17,0.00,0.18,0.00,0.23,0.00,0.00,0.52,0.39,0.00,0.17,0.00,0.18,0.00,0.23,0.00,0.00,0.00,
0.00,0.00,0.17,0.00,0.18,0.00,0.23,0.00,0.00,0.52,0.39,0.00,0.17,0.00,0.18,0.00,0.23,0.00,0.00,0.00,
0.00,0.00,0.17,0.00,0.18,0.00,0.23,0.00,0.00,0.52,0.40,0.00,0.17,0.00,0.18,0.00,0.23,0.00,0.00,0.00,
0.00,0.00,0.17,0.00,0.18,0.00,0.23,0.00,0.00,0.52,0.40,0.00,0.17,0.00,0.18,0.00,0.23,0.00,0.00,0.00,
0.00,0.00,0.17,0.00,0.18,0.00,0.23,0.00,0.00,0.52,0.40,0.00,0.17,0.00,0.18,0.00,0.23,0.00,0.00,0.00,
0.00,0.00,0.17,0.00,0.18,0.00,0.23,0.00,0.00,0.51,0.41,0.00,0.17,0.00,0.18,0.00,0.23,0.00,0.00,0.00,
0.00,0.00,0.17,0.00,0.18,0.00,0.23,0.00,0.00,0.51,0.41,0.00,0.17,0.00,0.18,0.00,0.23,0.00,0.00,0.00,
0.00,0.00,0.17,0.00,0.18,0.00,0.23,0.00,0.00,0.51,0.41,0.00,0.17,0.00,0.18,0.00,0.23,0.00,0.00,0.00,
0.00,0.00,0.17,0.00,0.18,0.00,0.23,0.00,0.00,0.51,0.42,0.00,0.17,0.00,0.18,0.00,0.23,0.00,0.00,0.00,
0.00,0.00,0.17,0.00,0.18,0.00,0.23,0.00,0.00,0.51,0.42,0.00,0.17,0.00,0.18,0.00,0.23,0.00,0.00,0.00,
