B-01,B-02,B-03,B-04,B-05,B-06,B-07,B-08,B-09,B-10,B-11,B-12,B-13,B-14,B-15,B-16,L-17,L-18,L-19,L-20,
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,
0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,
0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.02,0.02,0.02,0.02,
0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.02,0.02,0.02,0.02,
0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.02,0.02,0.02,0.02,
0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.02,0.02,0.02,0.02,
0.06,0.05,0.05,0.05,0.05,0.05,0.05,0.06,0.06,0.05,0.05,0.05,0.05,0.05,0.05,0.06,0.02,0.02,0.02,0.02,
0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.02,0.02,0.02,0.02,
0.07,0.06,0.06,0.06,0.06,0.06,0.06,0.07,0.07,0.06,0.06,0.06,0.06,0.06,0.06,0.07,0.02,0.02,0.02,0.02,
0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.01,0.01,0.01,0.01,
0.08,0.07,0.07,0.07,0.07,0.07,0.07,0.08,0.08,0.07,0.07,0.07,0.07,0.07,0.07,0.08,0.01,0.01,0.01,0.01,
0.08,0.07,0.07,0.07,0.07,0.07,0.07,0.08,0.08,0.07,0.07,0.07,0.07,0.07,0.07,0.08,0.00,0.00,0.00,0.00,
0.09,0.08,0.08,0.08,0.08,0.08,0.08,0.09,0.09,0.08,0.08,0.08,0.08,0.08,0.08,0.09,0.00,0.00,0.00,0.00,
0.09,0.08,0.08,0.08,0.08,0.08,0.08,0.09,0.09,0.08,0.08,0.08,0.08,0.08,0.08,0.09,0.00,0.00,0.00,0.00,
0.10,0.08,0.08,0.08,0.08,0.08,0.08,0.10,0.10,0.08,0.08,0.08,0.08,0.08,0.08,0.10,0.00,0.00,0.00,0.00,
0.10,0.08,0.09,0.09,0.09,0.09,0.08,0.10,0.10,0.08,0.09,0.09,0.09,0.09,0.08,0.10,0.00,0.00,0.00,0.00,
0.11,0.09,0.09,0.09,0.09,0.09,0.09,0.11,0.11,0.09,0.09,0.09,0.09,0.09,0.09,0.11,0.00,0.00,0.00,0.00,
0.11,0.09,0.09,0.09,0.09,0.09,0.09,0.11,0.11,0.09,0.09,0.09,0.09,0.09,0.09,0.11,0.00,0.00,0.00,0.00,
0.11,0.09,0.09,0.09,0.09,0.09,0.09,0.11,0.11,0.09,0.09,0.09,0.09,0.09,0.09,0.11,0.00,0.00,0.00,0.00,
0.12,0.09,0.10,0.10,0.10,0.10,0.09,0.12,0.12,0.09,0.10,0.10,0.10,0.10,0.09,0.12,0.00,0.00,0.00,0.00,
0.12,0.09,0.10,0.10,0.10,0.10,0.09,0.12,0.12,0.09,0.10,0.10,0.10,0.10,0.09,0.12,0.00,0.00,0.00,0.00,
0.12,0.09,0.10,0.10,0.10,0.10,0.09,0.12,0.12,0.09,0.10,0.10,0.10,0.10,0.09,0.12,0.00,0.00,0.00,0.00,
0.13,0.10,0.10,0.10,0.10,0.10,0.10,0.13,0.13,0.10,0.10,0.10,0.10,0.10,0.10,0.13,0.00,0.00,0.00,0.00,
0.13,0.10,0.10,0.10,0.10,0.10,0.10,0.13,0.13,0.10,0.10,0.10,0.10,0.10,0.10,0.13,0.00,0.00,0.00,0.00,
0.13,0.10,0.10,0.10,0.10,0.10,0.10,0.13,0.13,0.10,0.10,0.10,0.10,0.10,0.10,0.13,0.00,0.00,0.00,0.00,
0.14,0.10,0.11,0.10,0.10,0.11,0.10,0.14,0.14,0.10,0.11,0.10,0.10,0.11,0.10,0.14,0.00,0.00,0.00,0.00,
0.14,0.10,0.11,0.11,0.11,0.11,0.10,0.14,0.14,0.10,0.11,0.11,0.11,0.11,0.10,0.14,0.00,0.00,0.00,0.00,
0.14,0.10,0.11,0.11,0.11,0.11,0.10,0.14,0.14,0.10,0.11,0.11,0.11,0.11,0.10,0.14,0.00,0.00,0.00,0.00,
0.14,0.10,0.11,0.11,0.11,0.11,0.10,0.14,0.14,0.10,0.11,0.11,0.11,0.11,0.10,0.14,0.00,0.00,0.00,0.00,
0.15,0.10,0.11,0.11,0.11,0.11,0.10,0.15,0.15,0.10,0.11,0.11,0.11,0.11,0.10,0.15,0.00,0.00,0.00,0.00,
0.15,0.10,0.11,0.11,0.11,0.11,0.10,0.15,0.15,0.10,0.11,0.11,0.11,0.11,0.10,0.15,0.00,0.00,0.00,0.00,
0.15,0.10,0.11,0.11,0.11,0.11,0.10,0.15,0.15,0.10,0.11,0.11,0.11,0.11,0.10,0.15,0.00,0.00,0.00,0.00,
0.15,0.10,0.11,0.11,0.11,0.11,0.10,0.15,0.15,0.10,0.11,0.11,0.11,0.11,0.10,0.15,0.00,0.00,0.00,0.00,
0.15,0.10,0.11,0.11,0.11,0.11,0.10,0.15,0.15,0.10,0.11,0.11,0.11,0.11,0.10,0.15,0.00,0.00,0.00,0.00,
0.16,0.10,0.11,0.11,0.11,0.11,0.10,0.16,0.16,0.10,0.11,0.11,0.11,0.11,0.10,0.16,0.00,0.00,0.00,0.00,
0.16,0.10,0.11,0.11,0.11,0.11,0.10,0.16,0.16,0.10,0.11,0.11,0.11,0.11,0.10,0.16,0.00,0.00,0.00,0.00,
0.16,0.10,0.11,0.11,0.11,0.11,0.10,0.16,0.16,0.10,0.11,0.11,0.11,0.11,0.10,0.16,0.00,0.00,0.00,0.00,
0.16,0.10,0.12,0.11,0.11,0.12,0.10,0.16,0.16,0.10,0.12,0.11,0.11,0.12,0.10,0.16,0.00,0.00,0.00,0.00,
0.16,0.10,0.12,0.11,0.11,0.12,0.10,0.16,0.16,0.10,0.12,0.11,0.11,0.12,0.10,0.16,0.00,0.00,0.00,0.00,
0.17,0.10,0.12,0.11,0.11,0.12,0.10,0.17,0.17,0.10,0.12,0.11,0.11,0.12,0.10,0.17,0.00,0.00,0.00,0.00,
